"DATARES";"TEMPERATURA";"EXTREAL"
"1999-11-03 00:00:00.0";"17.79438";"-244.55979"
"1999-11-30 00:00:00.0";"12.79119";"-323.20471"
"2000-01-04 00:00:00.0";"11.2808";"-354.69241"
"2000-01-31 00:00:00.0";"8.7792";"-384.76339"
"2000-02-29 00:00:00.0";"11.70558";"-341.56109"
"2000-03-30 00:00:00.0";"14.06558";"-254.20069"
"2000-05-02 00:00:00.0";"14.58478";"-332.2879"
"2000-06-01 00:00:00.0";"18.07757";"-244.4373"
"2000-07-03 00:00:00.0";"23.78879";"-208.0336"
"2000-08-04 00:00:00.0";"24.82716";"-197.71629"
"2000-09-01 00:00:00.0";"25.06319";"-238.9308"
"2000-09-26 00:00:00.0";"24.16638";"-254.7384"
"2000-11-02 00:00:00.0";"19.11598";"-297.01889"
"2000-11-28 00:00:00.0";"14.86801";"-321.06759"
"2001-01-02 00:00:00.0";"12.79119";"-345.4039"
"2001-01-31 00:00:00.0";"11.94159";"-360.57418"
"2001-02-28 00:00:00.0";"12.4608";"-353.56491"
"2001-04-02 00:00:00.0";"14.72638";"-330.3764"
"2001-06-04 00:00:00.0";"20.05999";"-273.17498"
"2001-07-02 00:00:00.0";"23.17518";"-249.61869"
"2001-08-01 00:00:00.0";"24.07198";"-248.6114"
"2001-09-03 00:00:00.0";"24.9688";-240205
"2001-09-28 00:00:00.0";"23.6";"-258.68389"
"2001-11-05 00:00:00.0";"19.82398";"-294.8598"
"2001-12-03 00:00:00.0";"13.45199";"-351.28118"
"2001-12-31 00:00:00.0";"10.66717";"-359.27578"
"2002-01-30 00:00:00.0";"10.99757";"-373.31851"
"2002-02-28 00:00:00.0";"12.1304";"-358.02529"
"2002-04-01 00:00:00.0";"15.1984";"-320.3078"
"2002-05-02 00:00:00.0";"17.08637";"-309.61825"
"2002-07-31 00:00:00.0";"24.6384";"-252.06662"
"2002-08-29 00:00:00.0";"24.49677";"-246.57739"
"2002-11-04 00:00:00.0";"19.63518";"-293.71026"
"2002-12-02 00:00:00.0";"14.96239";"-330.8908"
"2002-12-30 00:00:00.0";"13.54637";"-350.00701"
"2003-02-27 00:00:00.0";"10.57278";"-371.65179"
"2003-04-15 00:00:00.0";"15.43438";"-357.82003"
"2003-05-02 00:00:00.0";"16.00079";"-309.47552"
"2003-06-02 00:00:00.0";"20.81518";"-277.78027"
"2003-06-30 00:00:00.0";"23.93039";"-254.22349"
"2003-08-05 00:00:00.0";"25.67677";"-263.94851"
"2003-09-01 00:00:00.0";"26.29039";"-244.56495"
"2003-09-30 00:00:00.0";"25.25199";"-262.28186"
"2003-11-03 00:00:00.0";"19.11597";"-315.51751"
"2005-05-02 00:00:00.0";"19.35199";"-271.63122"
"2005-06-01 00:00:00.0";"22.6088";"-257.26477"
"2005-06-22 00:00:00.0";"24.02478";"-245.55026"
"2005-07-01 00:00:00.0";"24.59119";"-249.00334"
